nest_ID,intersquare_dist_mm,date_from_may_01,clutch_start,Clutch size on decision day,reject_egg
K54,0.1496,33,2,3,n
CA57,0.1496,21,3,4,n
W32,0.1993,13,3,NA,n
K53,0.1993,33,2,2,n
W34,0.2985,13,4,,n
CA53,0.2985,18,3,3,y
K23,0.2985,33,2,2,n
K58,0.3974,33,2,2,n
High Cross,0.3974,17,3,3,y
O6,0.3974,34,2,2,y
CA15,0.5941,6,4,4,n
CA23,0.5941,13,3,4,n
Matthews Chemistry,0.8451,9,4,4,y
CA46,0.8451,16,3,NA,
CA22,0.8451,13,4,NA,
O4,0.9836,34,3,3,n
CA14,0.9836,6,3,3,y
CA20,0.9836,12,3,,n
O2,0.9836,34,4,4,y
CA3,1.1765,6,4,4,n
CA55,1.1765,20,3,3,n
CA43,1.1765,14,4,0,n
K34,1.1765,33,3,NA,n
CA59,0,24,3,4,y
CA1,0,6,3,NA,n
CA52,0,18,4,3,n
O1,1.4634,34,2,NA,
K12,1.4634,33,4,4,n
K57,1.4634,33,4,4,n
J2,1.9355,34,3,3,y
O3,1.9355,34,3,NA,n
J1,1.9355,34,4,4,y
K46,2.4,33,3,3,y
Hoover 1,2.4,24,3,3,y
W50,2.4,18,3,3,y
K102,2.4,38,3,3,y
CA58,2.4,23,3,3,n
