Wavelength,AG3R1_2,AG3R1_3,AG3R1_4,AZ3R1_1,AZ3R1_2,AZ3R1_3,AZ3R1_4,T3R1_1,T3R1_2,T3R1_3,DK3R1_1,DK3R1_2,DK3R1_3,DK3R1_4,CR3R1_1,CR3R1_2,CR3R1_3,CR3R1_4,CF3R1_1,CF3R1_2,CF3R1_3,DQ3R1_1,DQ3R1_2,DQ3R1_3,DQ3R1_4,DJ3R1_1,DJ3R1_2,DJ3R1_3,DT3R2_1,DT3R2_2,DT3R2_3,DY3R1_1,DY3R1_2,DY3R1_3,AY3R1_1,AY3R1_2,ED3R1_1,ED3R1_2,T3R1_5,T3R1_6,EH3R1_1,EH3R1_2,EJ3R1_1,EJ3R1_2,EJ3R1_3,EJ3R1_4,EI3R3_1,EI3R3_2,A3R5_1,EH3R1_1,EH3R1_2,EH3R1_3,EH3R1_4,EI3R2_1,EI3R2_2,EI3R2_3,DF3R1_1,DF3R1_2,DF3R1_3,AS3R1_1,AS3R1_2,AS3R1_3,CM3R1_1,CM3R1_2,EI3R13_1,EI3R13_2,EO3R1_1,EO3R1_2,EO3R1_3,EO3R1_4
300,6.294563,0.90931,0.541724889,6.012954667,7.557088222,7.6481991,5.0197112,16.59174267,10.8622866,9.8052606,7.2440198,3.521826778,2.215429778,3.8543369,9.406173727,6.2943706,8.087439333,4.6002683,12.01458611,13.07546811,12.40071989,11.9336556,10.41253682,6.7726147,6.53178,7.826166111,10.0252861,10.89074522,8.906824111,8.195767545,7.019573,8.997006333,6.67982,6.284444,7.5624235,10.34947211,2.2946081,3.349275778,8.308105333,10.51014456,9.851276,10.77390378,9.608543667,8.310273222,7.291712778,10.181862,8.189285636,7.5914395,14.929336,9.9305184,9.071785455,10.6944008,6.6620434,10.9479581,9.268036556,6.054205444,7.634437222,5.958633636,9.023995,8.873490778,8.213458889,7.935517444,8.840875889,9.284771556,11.411052,9.719476273,7.027935455,6.907154727,5.169817778,2.708399222
300.397064,6.2308439,0.821554222,0.46626,6.009735,7.574085333,7.6647489,5.0104216,16.61806522,10.8554596,9.82683,7.2038456,3.480949111,2.167769667,3.8254119,9.435694727,6.3312097,8.118445444,4.6151914,12.060528,13.12711267,12.43739211,11.9486024,10.41774909,6.7847851,6.5282125,7.875842444,10.0813644,10.94203,8.933215444,8.21952,7.0337794,8.983518,6.635564909,6.2665851,7.5766919,10.39331411,2.3200299,3.361273444,8.319168889,10.55916844,9.8881608,10.81680056,9.628564889,8.287281222,7.274924111,10.16691244,8.205113545,7.6084048,14.98672611,9.9929866,9.122323545,10.7480049,6.7063607,11.0050257,9.326130889,6.073989444,7.643956889,5.969657909,9.0264337,8.913188111,8.238965889,7.963123889,8.893098333,9.303475667,11.42943382,9.733021182,7.073611182,6.938992455,5.211978444,2.714514333
300.769043,6.1728154,0.766349111,0.412503778,6.022047556,7.596700667,7.6841008,5.0322178,16.699401,10.9015254,9.9084512,7.1480067,3.436067667,2.107135222,3.7673359,9.445252455,6.3573705,8.121790111,4.6220489,12.10773122,13.19536533,12.471102,11.9631315,10.39410445,6.7822668,6.5028749,7.920593111,10.1419308,11.00413333,8.961842889,8.241326182,7.0587827,9.001748444,6.614312,6.2642055,7.5766598,10.42520733,2.3191367,3.355687778,8.370579444,10.63275844,9.9189859,10.85933978,9.636997889,8.263721889,7.226241333,10.13345289,8.248347273,7.6524134,15.00945133,10.0210612,9.143986182,10.7556746,6.7075573,11.0447574,9.354473,6.094879667,7.674199444,5.995312455,9.04479,8.960649667,8.299215333,8.020946889,8.891309556,9.285078444,11.43890027,9.741119182,7.109939818,6.945598636,5.206807444,2.707588444
301.140961,6.1207353,0.694321333,0.315454778,6.043113,7.651551444,7.6962361,5.0313625,16.72632722,10.9129067,9.9429689,7.0843441,3.383160222,2.056899556,3.7185756,9.487564727,6.4102202,8.170480333,4.6425764,12.16632178,13.26202033,12.50963878,11.9666528,10.37988118,6.7919063,6.4913596,7.982975778,10.2276985,11.08628867,9.000845778,8.270073909,7.0987792,8.967364111,6.557250182,6.2017402,7.6152807,10.475899,2.3299464,3.365282333,8.353541,10.648256,9.9445433,10.87462822,9.634632444,8.231710111,7.175875,10.05543067,8.257673636,7.6703818,15.04158144,10.0573887,9.184153,10.7809073,6.7327101,11.0850049,9.378949,6.113990778,7.720865556,6.023433182,9.0705654,9.026948444,8.358031111,8.118718,8.881182,9.293497778,11.45480009,9.740878545,7.187516818,6.987760091,5.243868222,2.713902778
301.512848,6.0748434,0.592495889,0.207901333,6.068323111,7.682154,7.7337588,5.0530876,16.74458822,10.922386,9.9535502,6.9787289,3.276039667,1.961297778,3.6144626,9.498385909,6.4363257,8.179642333,4.6420743,12.21517044,13.32143467,12.54350522,11.9947556,10.36930209,6.8015372,6.4742465,8.037093333,10.3112409,11.17201322,9.045810111,8.301664273,7.1291711,8.980742111,6.549723273,6.1814839,7.6341508,10.49286356,2.3579166,3.378056333,8.400137667,10.70351333,9.9483927,10.879741,9.641973,8.209217222,7.108834667,9.976415222,8.279446091,7.6970749,15.04460689,10.0805277,9.205677455,10.7996536,6.7397058,11.1334047,9.432984667,6.140282333,7.725269444,6.027709909,9.056556,9.072823444,8.388674333,8.159350444,8.924793111,9.349251778,11.46852155,9.751198091,7.254111727,7.026508727,5.258994556,2.710189556
301.884705,6.0444386,0.538536778,0.128720778,6.081349333,7.702385222,7.7516815,5.0477181,16.76803244,10.9210738,9.9711546,6.910001,3.192084667,1.866663556,3.5435924,9.506992818,6.4772568,8.188306,4.6370071,12.27437556,13.39008856,12.57653267,11.9967691,10.35879209,6.7857027,6.4533319,8.101626778,10.4151491,11.25723689,9.040898556,8.304476273,7.1084101,8.943189222,6.469055455,6.0903286,7.6904852,10.53803822,2.3494849,3.363403333,8.436097,10.762541,9.9637601,10.89474733,9.614211111,8.164460556,7.006708444,9.871848778,8.302118545,7.7232362,15.09626544,10.100685,9.215304636,10.8044938,6.7449089,11.1884394,9.484257556,6.179272222,7.747287556,6.040928909,9.0602632,9.101271667,8.425229111,8.226046889,8.926658111,9.363903,11.48560573,9.742845,7.270608273,7.012929636,5.218515333,2.641573667
302.256531,5.9938718,0.440390556,-0.005833222,6.035244111,7.683629667,7.7351391,5.0277454,16.75703911,10.9215287,9.9611895,6.8506146,3.131772667,1.786475111,3.4825596,9.521681,6.5068201,8.214381778,4.6301251,12.34750467,13.47627389,12.65819589,11.9836683,10.31396327,6.7505969,6.4055863,8.133825556,10.4760455,11.32396811,9.081240556,8.345982545,7.1268744,8.906433889,6.380390545,6.0205832,7.6959813,10.568717,2.3377066,3.341099,8.454741556,10.81399722,9.9753501,10.92330978,9.554685333,8.059048333,6.853317444,9.695457444,8.322250364,7.7416718,15.14224133,10.1290927,9.232435,10.8088174,6.750634,11.2331952,9.501345,6.189238222,7.758866333,6.029416273,9.0515111,9.126662889,8.441759889,8.263478111,8.942381,9.358887,11.48538345,9.743378909,7.279811364,6.977071727,5.183400444,2.567678667
302.628326,5.9986806,0.427923556,-0.065211333,6.031439667,7.675196556,7.7343636,5.0216691,16.79213911,10.9686831,10.0066043,6.8099425,3.094332667,1.740968333,3.4398204,9.555906818,6.5355918,8.229810556,4.6218852,12.40572689,13.54343144,12.69833,12.0015549,10.30158309,6.7362761,6.3681668,8.222952556,10.6163834,11.45782656,9.041163889,8.302962455,7.1082658,8.898916111,6.345736455,5.9738948,7.7152477,10.597983,2.3405939,3.343082556,8.503716556,10.89500622,10.0245164,10.95721422,9.483371778,7.949856778,6.685938333,9.509467444,8.345913455,7.7570708,15.184629,10.1543801,9.265825727,10.8079451,6.7496638,11.2912063,9.540552778,6.202506,7.761300222,6.012194727,9.0203717,9.147908556,8.477823778,8.308536889,8.922403,9.339067556,11.49892773,9.752241636,7.296198636,6.952295545,5.137618222,2.496330333
303.000061,5.9155126,0.338739667,-0.181107333,6.078070444,7.716603222,7.7747698,5.0511427,16.80392789,10.9872142,10.0555023,6.7292781,3.039319667,1.650477333,3.3702895,9.578599455,6.5706121,8.235540444,4.6314747,12.45816322,13.58021167,12.72237222,11.9826229,10.22952955,6.6951157,6.2992726,8.315622,10.765415,11.59136956,9.040447778,8.298233182,7.0804168,8.890274667,6.272564727,5.9027623,7.7747267,10.62348244,2.3564862,3.366844111,8.548079444,10.94066656,10.0825855,11.02002856,9.444124667,7.849001333,6.543847556,9.326830889,8.359228455,7.7684331,15.20677133,10.1838686,9.30923,10.8267318,6.7736832,11.3114486,9.531469667,6.194134444,7.771463444,6.006613545,8.9837905,9.161379444,8.487599556,8.335116,8.938982889,9.350604889,11.49034273,9.734578455,7.296279273,6.909081636,5.045364667,2.404706667
303.371826,5.873247,0.221334667,-0.317138778,6.090197444,7.743100889,7.8156836,5.0414718,16.800566,10.9772844,10.048796,6.6662311,2.961898778,1.568571333,3.3044728,9.584068818,6.5799317,8.221622556,4.6123919,12.52418544,13.63918556,12.74890822,12.005523,10.25704436,6.7140054,6.2808575,8.386294444,10.8648809,11.71561856,9.052262556,8.311858364,7.0896229,8.858771667,6.211714727,5.8525614,7.8161306,10.65339867,2.3933406,3.401152,8.559180778,10.97134878,10.1202321,11.04696789,9.380461444,7.725704889,6.351735778,9.085650444,8.361987909,7.7631512,15.22974011,10.229142,9.350739182,10.8616758,6.815262,11.2958355,9.505922667,6.134843222,7.779123333,5.993917818,8.9620439,9.200480222,8.526597,8.392043,8.930225889,9.329269556,11.46563336,9.705000091,7.317820909,6.906520545,4.996595111,2.337500111
303.7435,5.8435795,0.137650778,-0.462594333,6.125698333,7.794187444,7.8626616,5.0706885,16.80130889,10.9927445,10.0873325,6.5784644,2.877259333,1.480411222,3.2165432,9.597228455,6.6017995,8.231869,4.6088381,12.54952156,13.68598222,12.763284,12.0171204,10.241087,6.7122329,6.2678304,8.453216,10.9604638,11.81625978,9.016112,8.309280818,7.0631314,8.840172778,6.164529545,5.8069307,7.877043,10.69051389,2.3788621,3.381169444,8.581735889,11.00970544,10.1602215,11.08409356,9.330054,7.595412556,6.153382111,8.844688889,8.390077091,7.7978899,15.28080211,10.2835019,9.399639364,10.8968012,6.8501259,11.3193499,9.512693556,6.125070667,7.776490889,5.971170364,8.9361486,9.256427,8.584336222,8.476250556,8.964799333,9.347585667,11.47087418,9.707009091,7.337595273,6.864929364,4.933924333,2.234824889
